,community,year,keep_row
949,PORTAGE PARK,2018.0,5
950,PORTAGE PARK,2019.0,18
951,PORTAGE PARK,2020.0,3
952,PORTAGE PARK,2021.0,15
953,PULLMAN,2015.0,1
954,PULLMAN,2017.0,1
955,PULLMAN,2020.0,1
956,ROGERS PARK,2001.0,2
957,ROGERS PARK,2002.0,14
958,ROGERS PARK,2003.0,12
959,ROGERS PARK,2004.0,13
960,ROGERS PARK,2005.0,12
961,ROGERS PARK,2006.0,18
962,ROGERS PARK,2007.0,17
963,ROGERS PARK,2008.0,25
964,ROGERS PARK,2009.0,14
965,ROGERS PARK,2010.0,20
966,ROGERS PARK,2011.0,10
967,ROGERS PARK,2012.0,19
968,ROGERS PARK,2013.0,11
969,ROGERS PARK,2014.0,10
970,ROGERS PARK,2015.0,13
971,ROGERS PARK,2016.0,7
972,ROGERS PARK,2017.0,12
973,ROGERS PARK,2018.0,10
974,ROGERS PARK,2019.0,7
975,ROGERS PARK,2020.0,11
976,ROGERS PARK,2021.0,8
977,ROSELAND,2014.0,1
978,ROSELAND,2015.0,1
979,ROSELAND,2017.0,2
980,ROSELAND,2018.0,4
981,ROSELAND,2019.0,5
982,ROSELAND,2020.0,4
983,ROSELAND,2021.0,6
